yyyy/mmdd(or -ddd)/hh.h):2000/ 101/ 0.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 647027.2   NmF1=      0.0   NmE=   3591.0
Peak Heights/km:     hmF2=   339.66   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             132.0
Dip (Magnetic Inclination)/degree                     -58.20
Modip (Modified Dip)/degree                           -46.86
Solar Sunspot Number (12-months running mean) Rz12    112.1           
Ionospheric-Effective Solar Index IG12                126.4           
Solar radio flux F10.7 (daily)                        125.6           
Solar radio flux F10.7 (81-day average)               158.6           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 295.0  466673  0.721   989   989  1208 994   1   0   0   1   3  -1  17.7  76
 300.0  503125  0.778   989   989  1222 987  12   1   0   0   0  -1  17.7  76
 305.0  536708  0.829   990   990  1236 986  13   1   0   0   0  -1  17.7  76
 310.0  566651  0.876   990   990  1251 986  13   1   0   0   0  -1  17.7  76
 315.0  592305  0.915   990   990  1265 985  13   1   0   0   0  -1  17.7  76
 320.0  613184  0.948   991   991  1279 985  14   1   0   0   0  -1  17.7  76
 325.0  629004  0.972   991   991  1293 985  14   1   0   0   0  -1  17.7  76
 330.0  639705  0.989   991   991  1307 984  14   1   0   0   0  -1  17.7  76
 335.0  645505  0.998   991   991  1321 984  15   1   0   0   0  -1  17.7  76
 340.0  647023  1.000   991   991  1333 983  15   1   0   0   0  -1  17.7  76
 345.0  645885  0.998   991   991  1344 983  15   2   0   0   0  -1  17.7  76
 350.0  642838  0.994   991   991  1350 982  16   2   0   0   0  -1  17.7  76
 355.0  638027  0.986   992   992  1352 982  16   2   0   0   0  -1  17.7  76
 360.0  631607  0.976   992   992  1350 981  17   2   0   0   0  -1  17.7  76
 365.0  623739  0.964   992   992  1346 981  17   2   0   0   0  -1  17.7  76
 370.0  614583  0.950   992   992  1341 980  18   2   0   0   0  -1  17.7  76
 375.0  604301  0.934   992   992  1335 979  18   2   0   0   0  -1  17.7  76
 380.0  593048  0.917   992   992  1329 979  18   2   0   0   0  -1  17.7  76
 385.0  580974  0.898   992   992  1323 978  19   3   0   0   0  -1  17.7  76
 390.0  568221  0.878   992   992  1317 978  19   3   0   0   0  -1  17.7  76
 395.0  554922  0.858   992   992  1312 977  20   3   0   0   0  -1  17.7  76
 400.0  541200  0.836   992   992  1306 976  20   3   0   0   0  -1  17.7  76
 405.0  527167  0.815   992   992  1300 976  21   3   0   0   0  -1  17.7  76
