yyyy/mmdd(or -ddd)/hh.h):2008/ 101/12.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 536845.4   NmF1= 244579.9   NmE= 143245.0
Peak Heights/km:     hmF2=   275.16   hmF1=   184.20   hmE=   110.00

Solar Zenith Angle/degree                               2.2
Dip (Magnetic Inclination)/degree                     -57.93
Modip (Modified Dip)/degree                           -46.73
Solar Sunspot Number (12-months running mean) Rz12      4.5           
Ionospheric-Effective Solar Index IG12                 -5.5           
Solar radio flux F10.7 (daily)                         76.7           
Solar radio flux F10.7 (81-day average)                72.9           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 295.0  434482  0.809   859   915  2151 979  12   0   0   2   5  -1  12.5  58
 300.0  426165  0.794   860   920  2173 982  16   1   0   0   0  -1  12.5  58
 305.0  417068  0.777   860   925  2195 982  17   1   0   0   0  -1  12.5  58
 310.0  407283  0.759   860   930  2218 982  17   1   0   0   0  -1  12.5  58
 315.0  396905  0.739   860   935  2240 981  17   1   0   0   0  -1  12.5  58
 320.0  386028  0.719   861   940  2262 981  18   2   0   0   0  -1  12.5  58
 325.0  374736  0.698   861   946  2283 980  18   2   0   0   0  -1  12.5  58
 330.0  363119  0.676   861   951  2305 980  18   2   0   0   0  -1  12.5  58
 335.0  351257  0.654   861   956  2327 979  19   2   0   0   0  -1  12.5  58
 340.0  339227  0.632   861   961  2347 979  19   2   0   0   0  -1  12.5  58
 345.0  327101  0.609   861   966  2365 978  19   2   0   0   0  -1  12.5  58
 350.0  314949  0.587   861   970  2378 978  20   3   0   0   0  -1  12.5  58
 355.0  302830  0.564   861   975  2386 977  20   3   0   0   0  -1  12.5  58
 360.0  290804  0.542   861   980  2389 977  20   3   0   0   0  -1  12.5  58
 365.0  278921  0.520   861   985  2390 976  21   3   0   0   0  -1  12.5  58
 370.0  267227  0.498   862   990  2390 976  21   3   0   0   0  -1  12.5  58
 375.0  255763  0.476   862   995  2389 975  21   4   0   0   0  -1  12.5  58
 380.0  244563  0.456   862   999  2388 974  22   4   0   0   0  -1  12.5  58
 385.0  233658  0.435   862  1004  2387 974  22   4   0   0   0  -1  12.5  58
 390.0  223072  0.416   862  1009  2386 973  22   5   0   0   0  -1  12.5  58
 395.0  212825  0.396   862  1014  2385 972  23   5   0   0   0  -1  12.5  58
 400.0  202933  0.378   862  1019  2385 971  23   5   0   0   0  -1  12.5  58
 405.0  193406  0.360   862  1023  2384 970  23   6   0   0   0  -1  12.5  58
 410.0  184252  0.343   862  1028  2383 970  24   6   0   0   0  -1  12.5  58
